StartDate,Site,Near,Far,Treatment,Total
2023-07-01,1,2.9612,1.8252,C,4.7864
2023-07-01,2,4.7194,1.6572,A,6.3766
2023-07-01,4,2.3932,4.0568,C,6.45
2023-07-01,5,1.4211,0.4669,C,1.888
2023-07-01,8,5.8001,6.7585,C,12.5586
2023-07-01,9,2.6647,0.9795,W,3.6442
2023-07-01,10,8.6823,1.3573,W,10.0396
2023-07-01,12,12.7444,0.7841,W,13.5285
2023-07-06,1,2.3892,1.1146,W,3.5038
2023-07-06,2,2.933,0.6636,C,3.5966
2023-07-06,5,1.4534,5.6774,A,7.1308
2023-07-06,6,3.4172,3.8722,C,7.2894
2023-07-06,7,4.3596,0.6525,A,5.0121
2023-07-06,10,6.6957,3.3217,C,10.0174
2023-07-06,12,2.455,1.7713,C,4.2263
2023-07-11,1,2.2022,0.5963,C,2.7985
2023-07-11,2,5.3922,1.2247,W,6.6169
2023-07-11,3,2.4434,0.5939,C,3.0373
2023-07-11,5,1.2321,3.5176,C,4.7497
2023-07-11,6,3.801,0.5043,W,4.3053
2023-07-11,7,4.12,0.3563,C,4.4763
2023-07-11,9,3.7199,2.1258,A,5.8457
2023-07-11,10,10.2599,2.2412,A,12.5011
2023-07-11,11,0.8074,1.6089,A,2.4163
2023-07-11,12,9.7511,1.318,A,11.0691
2023-07-16,1,8.677,1.4079,A,10.0849
2023-07-16,2,4.1806,3.4121,C,7.5927
2023-07-16,5,6.7923,11.8356,W,18.6279
2023-07-16,6,5.9027,0.8723,C,6.775
2023-07-16,7,5.7994,1.3377,W,7.1371
2023-07-16,8,10.1779,8.5171,A,18.695
2023-07-16,10,4.6738,3.8418,C,8.5156
2023-07-16,11,0.3622,2.2081,C,2.5703
2023-07-16,12,2.1985,0.9838,C,3.1823
2023-07-21,1,4.2171,3.5895,C,7.8066
2023-07-21,2,10.835,2.4515,A,13.2865
2023-07-21,3,1.5173,0.5195,C,2.0368
2023-07-21,4,0.7567,2.4449,C,3.2016
2023-07-21,5,1.151,4.2994,C,5.4504
2023-07-21,6,5.2404,0.9649,A,6.2053
2023-07-21,8,3.1654,2.7007,C,5.8661
2023-07-26,1,8.7337,1.7041,W,10.4378
2023-07-26,4,2.9002,3.3812,A,6.2814
2023-07-26,5,5.0351,5.054,A,10.0891
2023-07-26,6,5.2252,1.5543,C,6.7795
2023-07-26,8,7.1012,2.986,W,10.0872
2023-07-31,1,2.9507,1.1263,C,4.077
2023-07-31,4,0.675,1.4567,C,2.1317
2023-07-31,5,2.2066,6.5368,C,8.7434
2023-07-31,6,2.9305,0.8608,W,3.7913
2023-07-31,7,0.8107,0.004,C,0.8147
2023-07-31,8,3.1257,2.9928,C,6.1185
2023-07-31,12,7.7068,0.8698,A,8.5766
2023-08-05,1,6.255,1.7541,A,8.0091
2023-08-05,4,3.2749,1.4339,W,4.7088
2023-08-05,5,5.6751,4.8528,W,10.5279
2023-08-05,6,2.334,0.9046,C,3.2386
2023-08-05,7,2.6251,0.2734,W,2.8985
