Site,StartDate,Treatment,PrescribedTreatment,Folder,LabelledSite
1,2023-06-21,,C,,
2,2023-06-21,,W,,
3,2023-06-21,,C,,
4,2023-06-21,,C,,
5,2023-06-21,,C,,
6,2023-06-21,,W,,
7,2023-06-21,,C,,
8,2023-06-21,,C,,
9,2023-06-21,,W,,
10,2023-06-21,,A,,
11,2023-06-21,,A,11,11
12,2023-06-21,,A,,
1,2023-06-26,C,A,1,1
2,2023-06-26,A,C,2,2
3,2023-06-26,,A,,
4,2023-06-26,A,W,4,4
5,2023-06-26,A,W,5,5
6,2023-06-26,C,C,6,6
7,2023-06-26,W,W,7,7
8,2023-06-26,A,A,8,8
9,2023-06-26,,C,,
10,2023-06-26,C,C,10,10
11,2023-06-26,C,C,11,11
12,2023-06-26,C,C,12,12
1,2023-07-01,C,C,1,3
2,2023-07-01,A,A,2,2
3,2023-07-01,,C,,
4,2023-07-01,C,C,4,4
5,2023-07-01,C,C,5,5
6,2023-07-01,,A,,
7,2023-07-01,,C,,
8,2023-07-01,C,C,8,8
9,2023-07-01,W,A,9,9
10,2023-07-01,W,W,10,10
11,2023-07-01,,W,11,11
12,2023-07-01,W,W,12,12
1,2023-07-06,W,W,1,3
2,2023-07-06,C,C,2,2
3,2023-07-06,,W,,
4,2023-07-06,,A,,
5,2023-07-06,A,A,5,5
6,2023-07-06,C,C,6,6
7,2023-07-06,A,A,7,7
8,2023-07-06,,W,,
9,2023-07-06,,C,,
10,2023-07-06,C,C,10,10
11,2023-07-06,,C,11,11
12,2023-07-06,C,C,12,12
1,2023-07-11,C,C,1,3
2,2023-07-11,W,W,2,2
3,2023-07-11,C,C,3,3
4,2023-07-11,,C,4,4
5,2023-07-11,C,C,5,5
6,2023-07-11,W,W,6,6
7,2023-07-11,C,C,7,7
8,2023-07-11,,C,8,8
9,2023-07-11,A,W,9,9
10,2023-07-11,A,A,10,10
11,2023-07-11,A,A,11,11
12,2023-07-11,A,A,12,12
1,2023-07-16,A,A,1,3
2,2023-07-16,C,C,2,2
3,2023-07-16,,A,,
4,2023-07-16,,W,,
5,2023-07-16,W,W,5,5
6,2023-07-16,C,C,6,6
7,2023-07-16,W,W,7,7
8,2023-07-16,A,A,8,8
9,2023-07-16,,C,,
10,2023-07-16,C,C,10,10
11,2023-07-16,C,C,11,11
12,2023-07-16,C,C,12,12
1,2023-07-21,C,C,1,3
2,2023-07-21,A,A,2,2
3,2023-07-21,C,C,3,3
4,2023-07-21,C,C,4,4
5,2023-07-21,C,C,5,5
6,2023-07-21,A,A,6,6
7,2023-07-21,,C,,
8,2023-07-21,C,C,8,8
9,2023-07-21,,A,,
10,2023-07-21,,W,10,10
11,2023-07-21,,W,11,11
12,2023-07-21,,W,,
1,2023-07-26,W,W,1,3
2,2023-07-26,,C,,
3,2023-07-26,,W,,
4,2023-07-26,A,A,4,4
5,2023-07-26,A,A,5,5
6,2023-07-26,C,C,6,6
7,2023-07-26,,A,,
8,2023-07-26,W,W,8,8
9,2023-07-26,,C,,
10,2023-07-26,,C,10,10
11,2023-07-26,,C,11,11
12,2023-07-26,,C,,
1,2023-07-31,C,C,1,3
2,2023-07-31,,W,,
3,2023-07-31,C,C,3,3
4,2023-07-31,C,C,4,4
5,2023-07-31,C,C,5,5
6,2023-07-31,W,W,6,6
7,2023-07-31,C,C,7,7
8,2023-07-31,C,C,8,8
9,2023-07-31,,W,,
10,2023-07-31,,A,,
11,2023-07-31,,A,11,11
12,2023-07-31,A,A,12,12
1,2023-08-05,A,A,1,3
2,2023-08-05,,C,,
3,2023-08-05,,A,,
4,2023-08-05,W,W,4,4
5,2023-08-05,W,W,5,5
6,2023-08-05,C,C,6,6
7,2023-08-05,W,W,7,7
8,2023-08-05,,A,8,8
9,2023-08-05,C,C,9,9
10,2023-08-05,,C,,
11,2023-08-05,,C,11,11
12,2023-08-05,C,C,12,12
1,2023-08-10,C,C,1,3
2,2023-08-10,,A,,
3,2023-08-10,C,C,3,3
4,2023-08-10,C,C,4,4
5,2023-08-10,C,C,5,5
6,2023-08-10,A,A,6,6
7,2023-08-10,C,C,7,7
8,2023-08-10,W,C,8,8
9,2023-08-10,W,A,9,9
10,2023-08-10,,W,,
11,2023-08-10,,W,11,11
12,2023-08-10,W,W,12,12
1,2023-08-15,W,W,1,3
2,2023-08-15,,C,,
3,2023-08-15,W,W,3,3
4,2023-08-15,A,A,4,4
5,2023-08-15,A,A,5,5
6,2023-08-15,C,C,6,6
7,2023-08-15,A,A,7,7
8,2023-08-15,C,W,8,8
9,2023-08-15,C,C,9,9
10,2023-08-15,,C,,
11,2023-08-15,,C,,
12,2023-08-15,C,C,12,12
1,2023-08-20,,C,,
2,2023-08-20,,W,,
3,2023-08-20,C,C,3,3
4,2023-08-20,,C,,
5,2023-08-20,C,C,5,5
6,2023-08-20,W,W,6,6
7,2023-08-20,C,C,7,7
8,2023-08-20,,C,8,8
9,2023-08-20,A,W,9,9
10,2023-08-20,,A,,
11,2023-08-20,,A,,
12,2023-08-20,A,A,12,12
1,2023-08-25,,A,,
2,2023-08-25,,C,,
3,2023-08-25,W,A,3,3
4,2023-08-25,W,W,4,4
5,2023-08-25,W,W,5,5
6,2023-08-25,C,C,6,6
7,2023-08-25,W,W,7,7
8,2023-08-25,,A,8,8
9,2023-08-25,,C,,
10,2023-08-25,,C,,
11,2023-08-25,,C,,
12,2023-08-25,C,C,12,12
